"Código Departamento","Código Municipio","Código Centro Poblado","Nombre Departamento","Nombre Municipio","Nombre Centro Poblado","Tipo Centro Poblado","Longitud","Latitud","Nombre Distrito","Municipio/Áreas No Municipalizadas (ANM)","Nombre Área Metropolitana"
"05","05107","05107002","ANTIOQUIA","BRICEÑO","EL ROBLAL","CENTRO POBLADO","-75.586775","7.137653","","MUNICIPIO",""
"05","05107","05107003","ANTIOQUIA","BRICEÑO","LAS AURAS","CENTRO POBLADO","-75.51501","7.193361","","MUNICIPIO",""
"05","05107","05107004","ANTIOQUIA","BRICEÑO","TRAVESIAS","CENTRO POBLADO","-75.57177","7.133972","","MUNICIPIO",""
"05","05113","05113000","ANTIOQUIA","BURITICÁ","BURITICÁ","CABECERA MUNICIPAL","-75.907496","6.71973","","MUNICIPIO",""
"05","05113","05113001","ANTIOQUIA","BURITICÁ","EL NARANJO","CENTRO POBLADO","-75.897525","6.69307","","MUNICIPIO",""
"05","05113","05113002","ANTIOQUIA","BURITICÁ","GUARCO","CENTRO POBLADO","-75.941921","6.727579","","MUNICIPIO",""
"05","05113","05113003","ANTIOQUIA","BURITICÁ","TABACAL","CENTRO POBLADO","-75.91451","6.805923","","MUNICIPIO",""
"05","05113","05113004","ANTIOQUIA","BURITICÁ","LLANOS DE URARCO","CENTRO POBLADO","-75.916915","6.910451","","MUNICIPIO",""
"05","05113","05113005","ANTIOQUIA","BURITICÁ","LA ANGELINA","CENTRO POBLADO","-75.847818","6.694226","","MUNICIPIO",""
"05","05113","05113008","ANTIOQUIA","BURITICÁ","LA MARIELA","CENTRO POBLADO","-75.906473","6.72694","","MUNICIPIO",""
"05","05120","05120000","ANTIOQUIA","CÁCERES","CÁCERES","CABECERA MUNICIPAL","-75.35205","7.578366","","MUNICIPIO",""
"05","05120","05120002","ANTIOQUIA","CÁCERES","EL JARDÍN (TAMANÁ)","CENTRO POBLADO","-75.253751","7.754663","","MUNICIPIO",""
